date,star_rating,header,body
2025-07-09,1,Extremely Poor Customer Service and No Compensation for Serious Damages,"I am shocked and deeply disappointed by the way Airbnb has handled my recent damage claim.

After my last guest urinated on my mattress and caused extensive damage to my parquet floor (which now requires sanding of an entire 100m² area), as well as broke two cupboards, I submitted full documentation, including professional assessments, invoices, videos, and photos. Despite this, I have been repeatedly contacted by different customer service agents who clearly do not read the case history. Each one asks the same questions over and over again, and no one takes ownership of the issue.

I requested a direct phone call from a supervisor or department manager – not just another generic email from a new agent. This has been ignored completely.

I am an attorney and fully aware of Airbnb’s policies. I have complied with all of them, yet they continue to delay my case with irrelevant replies and automated scripts. Meanwhile, I have been forced to sleep on the floor for weeks and cannot rent out my place due to the unresolved damage.

This level of customer support is unacceptable and unprofessional for a global platform like Airbnb. Their handling of this case is not only negligent – it feels deliberately obstructive.

Unless Airbnb resolves this matter and compensates me fairly, I will continue to share this experience across social media and legal channels. I have never encountered such poor support from a major tech company."
2025-07-09,1,Charged for damages on a rental that we…,"Charged for damages on a rental that we did not cause, no support from Airbnb despite proving 3 other companies had access to the condo after us, and the management company had a poor reputation and had been accused of fraudulent practices. Airbnb continued to say we were responsible. I will never use this company again , beware"
2025-07-09,1,Thieving scum,"Thieving scum, they take pre authorisation and when host doesn’t confirm waiting over 30 days for money to be returned.

Holding thousands from my account. Avoid this company. "
2025-07-09,1,This was hands-down one of the worst…,"This was hands-down one of the worst experiences I’ve had with Airbnb — for a week-long stay that cost us £912. The property was filthy, damaged, and completely misrepresented, with outdated photos that clearly no longer reflect its actual condition. We left within minutes of arriving — it was that bad.

We clearly explained everything and requested a refund. The host ignored us, and Airbnb brushed it off, hiding behind policy and refusing to take any real accountability. No inspection, no follow-up, no support. Just an easy win for the host, and a complete loss for us — even with travel insurance in place.

Airbnb now seems more interested in protecting dishonest hosts than standing by its guests. If someone cancels in good faith for valid reasons, and Airbnb offers zero protection or action, then why should anyone feel safe booking through the platform?

Truly disgraceful customer service. I will never trust Airbnb again, and I strongly urge others to think twice before handing over your money to a system that clearly doesn’t protect you."
2025-07-09,1,Liars and inept customer care,"Company fails to follow their own policy.

I stayed at a property where there was rampant black mould and dripping from the ceiling left giant puddles on the kitchen tiles, making it slippery and dangerous. The listing and host did not indicate any of those issues. I photographed the issues, and contacted Airbnb to make them aware and seek compensation.

After many hours of making my points, on chat and calls, I kept getting useless blanket responses as a way of evading their responsibility of care.

Do not trust this company, and if you have alternative to find accommodation, I recommend you take it."
2025-07-09,1,Delayed payment ,Disappointed with Abnb
2025-07-09,1,We have had a shocking experience with…,"We have had a shocking experience with the host of The filey beach retreat.  Left the property cleaned and tidy and get home to an email stating that damages to the property for £125.00 an apparent urine smell on the rug and 2 throws which now have been replaced. Apparently we took a gerbil with us on holiday which caused the urine smell. How are we meant to prove that this is all a lie!?! Good luck with booking an airbnb property in future, because the host will say anything for extra cash! "
2025-07-09,1,If I could give zero I would,"If I could give zero I would. We we deceived by the people renting a property, who gave clear promises in writing about the conditions of the property including assurances that concerns had been addressed. Blatant lies, we have written evidence and will seek legal action. The flippant refusal to assist from AirBNB means I’ll never use their so called services again"
2025-07-09,1,Airbnb allows RAPISTS to host,The host entered the apartment while I was outside and my girlfriend was having a shower. I contacted Airbnb support and said it was urgent and was reporting a crime and wanted to leave. They made me wait like they could not care less. Or maybe it is too common and airbnb rather get paid while allowing rapes to go on. Do not rent apartments on airbnb unless you want to risk being raped because they do not care. They make you wait hours because THEY DO NOT CARE ABOUT GUESTS BEING SEEN NAKED OR RAPED! THEY do their best to ignore your safety too because they do not want to refund you when you are at risk. This is a criminal company and should be shut down! Everyone working for Airbnb should be put in jail!
2025-07-08,1,Came For A Vacation.. Almost Walked Into A Nightmare,"I’ve never written a review like this, but what happened to my family and me deserves serious attention—not just as a customer complaint, but as a safety warning.

We arrived late at night to our Airbnb rental after a long day of travel, exhausted and just hoping to get our kids into bed. 

Trusting Airbnb’s built-in navigation feature—something we assumed would be accurate and reliable—we followed the provided directions. What happened next was completely unacceptable: the navigation led us to the next door neighbors home. In the dark, with unfamiliar surroundings, and in a residential neighborhood, we unknowingly approached and tried to access a private home that was not our rental. The neighbors, THANKFULLY, opened their door and graciously told the two frazzled women and their three children in tow trying to break into their home, that the AirBnB that we were looking for was next door.
 
I cannot emphasize enough how dangerous this situation could have become. Imagine being a homeowner and seeing strangers—my family and I—approaching your door at 10pm, shaking your door, pissed off that the door code isn't working. It’s a terrifying scenario for both parties. We were lucky. The residents were understandably alarmed but not confrontational. Had the homeowners been more frightened or defensive, or had this occurred in a place with heightened security concerns, the outcome could have been catastrophic. People have been shot in driveways for less. We reached out to the host, and he was responsive, but didn't seem to recognize the gravity of the situation. 

We were shaken, and deeply unsettled. This was not user error. This was a failure of Airbnb’s system—a failure with potentially grave consequences. 

I want to be clear: this isn’t just an inconvenience or a tech glitch. It’s a serious safety flaw. Airbnb cannot afford to have its internal navigation directing guests to the wrong addresses, especially not at night and especially not when tensions can escalate quickly in unfamiliar neighborhoods. If Airbnb is going to offer built-in navigation tools, they must be rigorously verified and guaranteed accurate. Otherwise, don’t offer them at all. Until this issue is addressed, I strongly urge future guests to double-check addresses manually using trusted map services—and I urge Airbnb to treat this as the liability risk and public safety hazard it clearly is.

We came for a vacation. We nearly walked into a nightmare."
2025-07-08,1,Absolutely no customer support,"Absolutely no customer support. I had a terrible experience with a host, and Airbnb’s response was to ask me to work it out directly with them—burning through the only 72-hour window they offer for support. After 72 hours of being mistreated by the host, Airbnb said they could no longer help because the time had expired. Completely unacceptable. This was my first and last time using Airbnb. Never again."
2025-07-08,2,Their website is problematic,"Their website is problematic.   For months I could not log in.   Today I was able to, but the prices they showed were in some foreign currency that I did not recognize.   I tried again, and this time the site sent me to services that I am not interested in.  Come on!  Don't you want us to be your customer?"
2025-07-08,1,Their reviews system can't be trusted,"I stayed in a dirty, unmaintained, and old apartment. I added a review so other people would be aware. After one month, I received a notification from Airbnb stating that my review had been removed because it involved ""pressure or coercion."", which is not true. They are just trying to hide the truth.

For reference, here is my review:

The flat is well-located, but we didn’t enjoy our stay for several reasons:

•⁠  ⁠Mattresses were very thin and uncomfortable.
•⁠  ⁠Heating never worked. We reported it on Friday; after a 30 min call, the technician couldn’t fix it. The host then disappeared until Monday and suddenly demanded access within 50 minutes while we were out (after ignoring the problem all weekend).
•⁠  ⁠The shower kept cutting out, alternating scalding and freezing water.
•⁠  ⁠No soap in the bathroom.
•⁠  ⁠Living-room seats were cramped and looked like cut-up, uncovered foam.
•⁠  ⁠Towels were worn and cheap.
•⁠  ⁠No drying rack for clothes.
•⁠  ⁠Flat smelled musty and lacked ventilation.
•⁠  ⁠Overall, old and cheap furniture
•⁠  ⁠Cleanliness was poor. Eg. heavy dust, dirt, and an old pair of slippers under the beds."
2025-07-07,1,Security Deposit Return,"After we departed and the host sent two complimentary messages about the condition of the apartment (""We will write you a great five star review with great comments! You are welcome to stay at our apartment anytime again!"") and then refused to return the 1000 Euro security deposit.  The Airbnb resolution center is worthless.  "
2025-07-07,1,Trashy Company Account Permanently Shut,"Extremly Horrible pls READ: Airbnb shut down my account for having my gun with me where there are a lot of bears, there was one in the back yard so I took the gun from the car inside for caution, forgot the gun there and the airbnb shut down my account, I’ll be happily using platforms that are humanity compliant and not this trash of a company, even if my account gets returned I’ll boycott Airbnb moving forward. 
My appeal got denied despite deliberate danger of having bears all over these mountains, Airbnb is distasteful.  "
